vehicle_count,pedestrian_count,total_objects,object_density,avg_bbox_area,max_bbox_area,image_id,cluster,risk_label
10,0,10,1.0850694444444443e-05,5201.1,13746,5a2419f3-4fc0d689.jpg,1,High
2,0,2,2.170138888888889e-06,160903.0,281196,397cfb2a-77707f3d.jpg,2,Medium
1,0,1,1.0850694444444444e-06,2200.0,2200,740285bf-e568f563.jpg,0,Low
8,1,9,9.765625e-06,36140.66666666666,116034,59700f72-90902d09.jpg,1,High
4,3,7,7.595486111111111e-06,1706.571428571429,2688,afd05abf-0de7f963.jpg,0,Low
3,0,3,3.255208333333333e-06,125930.0,253440,55866155-39e0d627.jpg,2,Medium
3,0,3,3.255208333333333e-06,8297.333333333334,17836,2439c8bb-ba2f46ef.jpg,0,Low
8,0,8,8.680555555555556e-06,46669.25,338352,89833bd3-70d9838f.jpg,2,Medium
1,0,1,1.0850694444444444e-06,390369.0,390369,3bce0a5f-6b0c3495.jpg,2,Medium
10,0,10,1.0850694444444443e-05,23242.7,80376,0cdaa475-100fd615.jpg,1,High
3,1,4,4.340277777777778e-06,131164.25,406404,77c581fe-002d847d.jpg,2,Medium
5,0,5,5.4253472222222224e-06,1918.2,4118,9ec334bb-eca3a783.jpg,0,Low
7,0,7,7.595486111111111e-06,41459.857142857145,78692,26d7b7d9-9a8bf48c.jpg,0,Low
7,0,7,7.595486111111111e-06,7795.142857142857,33578,143da8e5-1c643322.jpg,0,Low
4,1,5,5.4253472222222224e-06,15619.6,46556,616aaed5-68d3f30c.jpg,0,Low
16,0,16,1.736111111111111e-05,16984.8125,157050,4a63448d-8e1c6088.jpg,1,High
7,3,10,1.0850694444444443e-05,9937.8,46314,8450299f-d63f5144.jpg,1,High
15,1,16,1.736111111111111e-05,7494.5,34900,7c46e9fc-7b3dcb29.jpg,1,High
9,0,9,9.765625e-06,2891.1111111111118,8733,273dd231-2de39183.jpg,1,High
13,1,14,1.5190972222222222e-05,22982.071428571428,128331,0cd03801-6a226ab9.jpg,1,High
2,0,2,2.170138888888889e-06,59619.0,91300,5f21b3f0-cc9da162.jpg,0,Low
5,1,6,6.510416666666667e-06,24592.0,36842,8c763a00-f8a5e54a.jpg,0,Low
0,0,0,0.0,0.0,0,9397a14d-602bf534.jpg,0,Low
8,0,8,8.680555555555556e-06,17461.875,59856,7da1e37e-4f45c4f3.jpg,0,Low
4,14,18,1.953125e-05,8518.777777777777,57597,a48909f7-54e4bcff.jpg,1,High
10,0,10,1.0850694444444443e-05,11385.8,43000,4a6589be-2227a993.jpg,1,High
5,0,5,5.4253472222222224e-06,9058.4,14400,a8031aaa-ae74ff1b.jpg,0,Low
5,0,5,5.4253472222222224e-06,15218.6,28340,9279bba6-c4f73ff0.jpg,0,Low
5,0,5,5.4253472222222224e-06,54215.4,159775,2c86a7d0-727b05c5.jpg,2,Medium
4,0,4,4.340277777777778e-06,50117.25,115668,95300311-de942f9c.jpg,0,Low
4,0,4,4.340277777777778e-06,6700.75,21942,98d77a2f-36b5160a.jpg,0,Low
2,0,2,2.170138888888889e-06,32370.0,37392,66d2f3f8-85405c57.jpg,0,Low
8,0,8,8.680555555555556e-06,8151.125,20874,a057fa00-8bddbf3c.jpg,0,Low
0,0,0,0.0,0.0,0,0a8aa157-38e8ed64.jpg,0,Low
3,0,3,3.255208333333333e-06,8750.0,14355,9e47bdb2-a5c7116e.jpg,0,Low
4,0,4,4.340277777777778e-06,52077.75,154425,426f2ee7-2649de86.jpg,2,Medium
4,0,4,4.340277777777778e-06,1492.5,3003,613cfc11-6709a940.jpg,0,Low
4,1,5,5.4253472222222224e-06,34279.8,97920,2ee4ec7f-f8ae0368.jpg,0,Low
9,0,9,9.765625e-06,11274.555555555557,50279,2ff9b6c6-b8f73c9f.jpg,1,High
6,0,6,6.510416666666667e-06,17689.833333333332,50869,4bb25b10-58a89016.jpg,0,Low
9,0,9,9.765625e-06,22007.666666666668,118773,afa7cd59-5672505b.jpg,1,High
10,0,10,1.0850694444444443e-05,8155.7,27776,02065c11-194478e8.jpg,1,High
3,0,3,3.255208333333333e-06,14165.333333333334,40704,6f404e37-28de0bee.jpg,0,Low
5,0,5,5.4253472222222224e-06,26256.0,61965,9c8cd720-94a65c56.jpg,0,Low
13,0,13,1.4105902777777775e-05,15403.23076923077,119425,71d0057e-85473da7.jpg,1,High
5,0,5,5.4253472222222224e-06,3296.2,6831,555ab205-a789b4c1.jpg,0,Low
8,0,8,8.680555555555556e-06,33788.75,89342,988cd8e2-61223282.jpg,1,High
4,0,4,4.340277777777778e-06,30666.0,113864,0133af9c-0fe68717.jpg,0,Low
1,0,1,1.0850694444444444e-06,3200.0,3200,aa4a3d6e-8156e80d.jpg,0,Low
6,0,6,6.510416666666667e-06,37797.333333333336,96410,4e10ad82-bbabb897.jpg,0,Low
0,0,0,0.0,0.0,0,4b7cf569-98846f1e.jpg,0,Low
4,0,4,4.340277777777778e-06,144408.75,562688,95eb0285-e90219fb.jpg,2,Medium
1,1,2,2.170138888888889e-06,13651.5,23353,2db2ae94-89514b88.jpg,0,Low
3,2,5,5.4253472222222224e-06,2012.6,7260,32acad4f-d45c57b9.jpg,0,Low
10,0,10,1.0850694444444443e-05,15887.9,88998,2532100b-e5e84370.jpg,1,High
5,0,5,5.4253472222222224e-06,8106.6,16020,0ed84a06-772205e4.jpg,0,Low
10,7,17,1.844618055555556e-05,16286.941176470587,152646,a96c6a5a-51986bc2.jpg,1,High
3,0,3,3.255208333333333e-06,10207.333333333334,13110,7a4bee59-2fd17b48.jpg,0,Low
